1,All Messed Up,Sum 41,164,1
2,All Nightmare Long , Metallica,477,1
3,American Idiot (Album Version) , Green Day,176,1
4,Angry Again , Megadeth,242,1
5,Annihilation By The Hands Of God (Album Version) , Roadrunner United ,333,1
6,Another Time Around,Sum 41,416,1
7,Awaken,Disturbed,269,1
8,Ballad Of Ira Hayes,Johnny Cash,173,1
9,Battery , Metallica,316,1
10,Before You Die,Bad Religion,412,1
11,Blood Red,Slayer,167,1
12,You Oughta Know,Alanis Morissette,329,1
13,Blood Roses , Tori Amos,322,1
14,Break Stuff,Limp Bizkit,168,1
15,Breaking The Law , Judas Priest,153,1
16,Breaking Your Own Heart,Kelly Clarkson,232,1
17,Burn In My Light,Mercy Drive,634,1
18,Cage The Beast , Adelitas Way,197,1
19,Civil War , Guns N' Roses,466,1
20,Cleanin Out My Closet,Eminem,303,1
21,Costume Makes The Clown,Shakira,192,1
22,Creeping Death , Metallica,396,1
23,Criminal,Eminem,321,1
24,Dark Side,Kelly Clarkson,224,1
25,Dead And Gone , T.I.,304,1
26,Dead Beat , A Place To Bury Strangers,215,1
27,Dear Father,Sum 41,234,1
28,Defy You , The Offspring,228,1
29,do what they say,Korn,257,1
30,Don'T Cry,Guns N' Roses,288,1
31,Dope Hat , Marilyn Manson,261,1
32,Eat You Alive , Limp Bizkit,237,1
33,eminem,no afraid,248,1
34,"Endless, Nameless",Nirvana,405,1
35,Enter Sandman,Metallica,459,1
36,Erased,Annie Lennox,280,1
37,ever be,Korn,770,1
38,Evolution,Korn,218,1
39,Exit , Longwave,231,1
40,Eyeless [Explicit],Slipknot,240,1
41,Fat Lip,SUM 41,180,1
42,Flat On The Floor,Nickelback,125,1
43,Fuel , Metallica,272,1
44,Get Me Gone,Fort Minor,121,1
45,Going Through Changes,Eminem,797,1
46,Gone , Kelly Clarkson,208,1
47,Gunpowder & Lead,Miranda Lambert,514,1
48,Handle This,SUM 41,218,1
49,Hardly Wait,Pj Harvey,169,1
50,Heresy,Nine Inch Nails,235,1
51,Hero of the Soviet Union,The Dillinger Escape Plan,179,1
52,Hide And Seek,Dannii Minogue,190,1
53,Hit The Lights , Metallica,254,1
54,Holiday (Album Version) , Green Day,0,1
55,Hurt , Adelitas Way,236,1
56,I Ain'T Goin' Out Like That,Cypress Hill,268,1
57,I Am Hated (Album Version),161,,1
58,I Hate Everything About You,Three Days Grace,233,1
59,I'M Back,Eminem,312,1
60,In My Darkest Hour , Megadeth,389,1
61,Jesus Christ Pose , Soundgarden,383,1
62,Jumpdafuckup (Album Version),Soulfly,311,1
64,Kill You,Eminem,267,1
65,kiss,Korn,250,1
66,Kiss Off,Violent Femmes,176,1
67,Lamb Of God,Marilyn Mans,746,1
68,Leper Messiah , Metallica,343,1
69,Let Me Down,Kelly Clarkson,207,1
70,Liberate , Disturbed,211,1
71,Like Toy Soldiers , Eminem,303,1
72,Limp Bizkit,The Truth,327,1
73,Little Smirk,Theory Of A Deadman,211,1
74,Lose Yourself,Eminem,330,1
75,Lunchbox,Marilyn Manson,274,1
76,Marshall Mathers,Eminem,323,1
77,Master Of Puppets,Metallica,517,1
78,Maybe , Kelly Clarkson,267,1
79,Motivation,SUM 41,171,1
80,Motorbreath , Metallica,202,1
81,Mr. Know It All , Kelly Clarkson,235,1
82,Music Box,Eminem,310,1
83,My Derailment,Adelitas Way,217,1
84,My Life Would Suck Without You,Kelly Clarkson,215,1
85,Never Again , Kelly Clarkson,222,1
86,Nookie , Limp Bizkit,266,1
87,Nothing Else Matters,Metallica,392,1
88,One Mic , Nas,269,1
89,Only,Nine Inch Nails,701,1
90,Orchids,Stone Sour,264,1
91,Paint It Black,Vanessa Carlton,215,1
92,Pancake,Tori Amos,357,1
93,Physical (You'Re So),Nine Inch Nails,331,1
94,Pick Up the Phone,Falling In Reverse,279,1
95,Picture To Burn,Taylor Swift,179,1
96,Pig,Sparklehorse,146,1
97,Playing Your Song,Hole,203,1
98,Pretend We'Re Dead , L7,235,1
99,Pretty Fly (For A White Guy) , The Offspring,189,1
100,Pride,Manchester Orchestra,361,1
1,Anyone Of Us (Stupid Mistake),Gareth Gates,231,2
2,Around The World,Aqua,213,2
3,Bruises,Chairlift,241,2
4,Bubbly,Colbie Caillat,222,2
5,Captains And Cruise Ships,Owl City,246,2
6,Carried Away,Passion Pit,224,2
7,Cartoon Heroes,Aqua,229,2
8,Caskets,Damien Jurado,178,2
9,Catholic Pagans,surfer blood,193,2
10,Chloe (You're The One I Want),Emblem3,592,2
11,Choose Love,Ringo Starr,188,2
12,Come To My Window,Melissa Etheridge,237,2
13,Crashed The Wedding,Busted,162,2
14,Cuddly Toy,The Monkees,165,2
15,Cups,Anna Kendrick,77,2
16,Cute,David Steinberg,229,2
17,Dancing In The Moonlight,Toploader,233,2
18,Dannyboy,Youngblood Hawke,187,2
19,Daydream Believer,The Monkees,468,2
20,Daylight,Matt & Kim,171,2
21,Dementia,Owl City,215,2
22,Do Ya Thang,Rihanna,223,2
23,Doing Fine (Without You),Pixie Lott,190,2
24,Don't Leave Me (Ne Me Quitte Pas),regina spektor,220,2
25,Don'T Let The Man Get You Down,Fatboy Slim,241,2
26,Don'T Stop Me Now,Queen,212,2
27,Don'T Stop Movin',S Club 7,237,2
28,Dream Catch Me,Newton Faulkner,240,2
29,Electric Daydream,Viva Brother,229,2
30,End Of The Line,Traveling Wilburys,207,2
31,Every Little Thing,Good Lovelies,201,2
32,Everyday,Sausalito Foxtrot,102,2
33,Everything At Once,Lenka,160,2
34,Falling Up,John Hiatt,220,2
35,Fascination,Alphabeat,186,2
36,Favorite Song,Colbie Caillat,230,2
37,Fireflies,Owl City,230,2
38,Forget That Girl,The Monkees,150,2
39,Foundations,Kate Nash,218,2
40,Free,Good Lovelies,177,2
41,Fun.,All The Pretty Girls,203,2
42,Funny Little Frog,belle and sebastian,188,2
43,Get Lost,Patrick Wolf,197,2
44,Get Lucky,dragonette,186,2
45,Girl In Your Dreams,M2M,226,2
46,Glad You Came,The Wanted,198,2
47,Gold,Owl City,240,2
48,Good Day,Nappy Roots,223,2
49,Goodness Gracious,Ellie Goulding,227,2
50,Great Divide,Hanson,240,2
51,Happy,Natasha Bedingfield,223,2
52,Happy,Pharrell Williams,234,2
53,Heart Of A Jealous Man,The Notorious Cherry Bombs,242,2
54,Hello,Tristan Prettyman,207,2
55,Here Comes The Sun,The Beatles,189,2
56,Hey Julie,Fountains of Wayne,157,2
57,Hey Man (Now You'Re Really Living),Eels,181,2
58,Hey Scenesters!,The Cribs,196,2
59,"Hey, Soul Sister",Train,219,2
60,Holiday In My Head,Smash Mouth,166,2
61,Hot Air Balloon,Owl City,568,2
62,I Can See Clearly Now,Jimmy Cliff,200,2
63,I Could Be The One ( Lp Version ),Donna Lewis,230,2
64,I Feel It All,Feist,219,2
65,I Feel Like Going Home,Muddy Waters,222,2
66,I Love Nyc,Andrew W.K.,191,2
67,I'Ll Be Your Man,James Blunt,219,2
68,I'M A Believer,The Monkees,164,2
69,You Just May Be The One,The Monkees,122,2
70,I'm Yours,Jason Mraz,245,2
71,If I Ever Break Your Heart,The Notorious Cherry Bombs,204,2
72,In the summertime,Mungo jerry,216,2
73,It Gets Better,Fun.,216,2
74,It's a Beautiful Day,Michael Bubl??,540,2
75,It'S Amazing,Jem,238,2
76,It'S Not Over (Death Or The Toy Piano),The Puppini Sisters,195,2
77,Iyiyi (Feat. Flo Rida),Cody Simpson,235,2
78,Junk Of The Heart (Happy),The Kooks,187,2
79,King Of Anything,Sara Bareilles,209,2
80,Kiss Me Slowly,Parachute,237,2
81,L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,227,2
82,La Isla Bonita,Madonna,247,2
83,Last Train To Clarksville,The Monkees,164,2
84,Ldn,Lily Allen,195,2
85,Lemonade,Chris Rice,186,2
86,Listen To The Band,The Monkees,153,2
87,Littlest Things,Lily Allen,186,2
88,Lollipop,Aqua,219,2
89,Lollipop,Mika,189,2
90,Look Out (Here Comes Tomorrow),The Monkees,132,2
91,Love Generation,Bob Sinclar,177,2
92,Love Love Love (Album Version),Tristan Prettyman,208,2
93,Love Will Keep Us Alive,Eagles,246,2
94,Love You Like A Love Song,Selena Gomez & The Scene,185,2
95,Lovefool,The Cardigans,197,2
96,Loving You Tonight,Andrew Allen,181,2
97,Lucky,"Colbie Caillat,Jason Mraz",196,2
98,Luna,Bombay Bicycle Club,190,2
99,Making Memories Of Us,The Notorious Cherry Bombs,244,2
100,Man! I Feel Like A Woman!,Shania Twain,233,2
1,03.45 _ No Sleep,The Cardigans,228,3
2,Cicadas & Gulls,Feist,198,3
3,Cold Water,Damien Rice,301,3
4,Coldest Winter,Matt Cab,228,3
5,Comes And Goes (In Waves),Greg Laswell,256,3
6,Communication,The Cardigans,272,3
7,Cry For Help,Rick Astley,291,3
8,Cry On My Shoulder,Bonnie Raitt,224,3
9,Dear Diary,Britney Spears,171,3
10,Dream,Priscilla Ahn,214,3
11,Dreaming My Dreams With You,Alison Krauss,268,3
12,End Of May,Keren Ann,213,3
13,Even Now,William Fitzsimmons,176,3
14,Explorers,Sky Sailing,251,3
15,Fall For Your Type,Jamie Foxx,236,3
16,Falling In Love At A Coffee Shop,Landon Pigg,247,3
17,Fireflies,Owl City,230,3
18,Forever Friends,?????,186,3
19,Free Life,Dan Wilson,243,3
20,Geek In The Pink,Jason Mraz,238,3
21,Give Me Life,Daniel Powter,218,3
22,Godspeed (Sweet Dreams),Dixie Chicks,287,3
23,Going Home,Sophie Zelmani,252,3
24,gold in the air of summer,Kings Of Convenience,214,3
25,Good Girl Gone Bad,Rihanna,218,3
26,Goodbye,Sophie Zelmani,204,3
27,Grace,Laura Story,276,3
28,grace is gone,Dave Matthews Band,278,3
29,Grafton Street,Dido,359,3
30,Hands On The Radio,Chris Garneau,238,3
31,Hard Believer,First Aid Kit,226,3
32,He Will Carry Me,Mark Schultz,272,3
33,Hear The Noise That Moves So Soft And Low,James Vincent McMorrow,243,3
34,Her Morning Elegance,Oren Lavie,218,3
35,Here I Am,Leona Lewis,293,3
36,Home,Michael Bubl??,542,3
37,Homesick,Kings Of Convenience,194,3
38,Honestly,Jo De La Rosa,208,3
39,How To Save A Life,The Fray,262,3
40,I Am Falling Now,Maximilian Hecker,844,3
41,I Believe In Love,Dixie Chicks,258,3
42,I Belong To Me,Jessica Simpson,220,3
43,I Bruise Easily,Natasha Bedingfield,253,3
44,I Don'T Want To Say Goodbye,Teddy Thompson,197,3
45,I Miss You,Darren Hayes,333,3
46,I Need My Girl,The National,251,3
47,I Need Some Sleep,Eels,97,3
48,I Was Only Joking,Rod Stewart,367,3
49,I Wonder (Departure),Abba,274,3
50,I'M Sorry That The Kitchen Is On Fire,Tamas Wells,189,3
51,I've Been In Love Before,Cutting Crew,308,3
52,I'Ve Never Been To Me,Charlene,229,3
53,imagine me without you,Jaci Velasquez,250,3
54,In My Secret Life,Leonard Cohen,233,3
55,In The Dark,Shelley Harland,198,3
56,In The Morning,Club 8,162,3
57,Inside,Bang Gang,342,3
58,Is There Somebody Who Can Watch You,The 1975,175,3
59,Jailcell Mind,Hayley Sales,235,3
60,"Jesus, Walk With Me",Club 8,194,3
61,Just Hold Me,Maria Mena,267,3
62,just like heaven,Katie Melua,218,3
63,Keep Walking or I'll Kill You,Agnes Kain,216,3
64,Killer On The Road,Oh Laura,234,3
65,Leave The Light On,Priscilla Ahn,198,3
66,Let It Rain,Olivia Ong,271,3
67,Life For Rent,Dido,225,3
68,Light Up the Sky,The Afters,217,3
69,Like A Star,Corinne Bailey Rae,242,3
70,Limit To Your Love,Feist,696,3
71,Little Girl In The World,?????,235,3
72,Little Love Caster,Laura Marling,352,3
73,Little Talks,Of Monsters and Men,214,3
74,Living In The Moment,Jason Mraz,239,3
75,Lonely Road,Everlast,198,3
76,Lost & Found,Lianne La Havas,269,3
77,Love In December,Club 8,222,3
78,Love Song For 1,Corrinne May,289,3
79,Love You So,Natalie,218,3
80,May It Be,Enya,216,3
81,Maybe I'Ll Go,Lene Marlin,281,3
82,Melt The Snow,Shayne Ward,232,3
83,Milk And Toast And Honey,Roxette,247,3
84,Miss You,coldrain,238,3
85,Mondo Bongo,Joe Strummer & The Mescaleros,373,3
86,Much Farther To Go,Rosie Thomas,258,3
87,My Love,Lene Marlin,272,3
88,My Place,Nelly,275,3
89,Never Know,Jack Johnson,212,3
90,Never Say Goodbye (Adapted From _Pavane_),Hayley Westenra,196,3
91,Not Going Anywhere,Keren Ann,219,3
92,Nothing But A Miracle,Diane Birch,266,3
93,Only Ones Who Know,Arctic Monkeys,187,3
94,Open,Rhye,216,3
95,Out From Under,Britney Spears,236,3
96,Over The Rainbow _ What A Wonderful World,Israel Kamakawiwo'ole,295,3
97,Over The Way,????,271,3
98,Paper Aeroplane,KT Tunstall,199,3
99,Parachute,Sean Lennon,201,3
100,Pinocchio Story (Freestyle Live Fr,Kanye West,362,3
1,9 Crimes,Damien Rice,219,4
2,A Different Kind Of Pain (Album Version),Cold,320,4
3,A Natural Disaster,Anathema,387,4
4,A Place Nearby,Lene Marlin,252,4
5,A Thousand Miles,Vanessa Carlton,243,4
6,Again And Again,Jewel,241,4
7,All I Ever Wanted,The Airborne Toxic Event,312,4
8,All Out Of Love,Air Supply,242,4
9,All Too Well,Taylor Swift,848,4
10,Almost Lover (Album Version),A Fine Frenzy,274,4
11,Alone (2000 Digital Remaster),Heart,222,4
12,Angel Of Mine,Monica,251,4
13,As Long As You Love Me,Backstreet Boys,225,4
14,Ashes And Wine,A Fine Frenzy,695,4
15,Back To December,Taylor Swift,298,4
16,Be Alright,Justin Bieber,191,4
17,Better Off Dead,anathema,263,4
18,Better Than A Hallelujah,AMY GRANT,225,4
19,Black & Blue,Chris Garneau,334,4
20,Blue Velvet,Lana Del Rey,159,4
21,Born To Die,Lana Del Rey,289,4
22,Brand New Me,Alicia Keys,239,4
23,Breathe Again,Sara Bareilles,298,4
24,Brick,Ben Folds Five,272,4
25,Broken,Jake Bugg,248,4
26,California Dreaming,North,162,4
27,Cancer,My Chemical Romance,144,4
28,Caving In,Kimya Dawson,184,4
29,Christmas In My Heart (Single Version),Sarah Connor,259,4
30,Christmas Lights,Coldplay,246,4
31,Cold As You,Taylor Swift,242,4
32,Cold Water,Damien Rice,301,4
33,Coldest Winter,Kanye West,168,4
34,Communication,The Cardigans,272,4
35,Cry,James Blunt,254,4
36,Death To Birth,Michael Pitt,286,4
37,Disguise,Lene Marlin,232,4
38,Do I Have To Cry For You,Nick Carter,218,4
39,Down,"Jason Walker,Molly Reed",249,4
40,"Drama, Love & 'Lationships",Babyface,238,4
41,Dreamer,Uh Huh Her,236,4
42,Dying,Hole,225,4
43,Dying In The Sun,The Cranberries,211,4
44,Elizabeth On The Bathroom Floor,Eels,129,4
45,England Made Me,Black Box Recorder,243,4
46,Even Heaven Cries,Monrose,240,4
47,Everything Will Flow,Suede,270,4
48,Eyepennies,Sparklehorse,330,4
49,Fire Burning,Sean Kingston,245,4
50,Flying,Anathema,358,4
51,Follow You Down To The Red Oak Tree,James Vincent McMorrow,204,4
52,Forever Young,Alphaville,226,4
53,Forget Her,Jeff Buckley,313,4
54,Forgotten Hopes,Anathema,231,4
55,Foundations,Kate Nash,249,4
56,God Is A Girl,Groove Coverage,225,4
57,Goodbye my lover,James blunt,253,4
58,Gravity,Sara Bareilles,233,4
59,Half Life,Imogen Heap,242,4
60,Hallelujah,Rufus Wainwright,249,4
61,Happily Never After,The Pussycat Dolls,289,4
62,Happiness,The Fray,325,4
63,Happy Xmas (War Is Over),The Moody Blues,158,4
64,Haunted,Radical Face,323,4
65,Haunted,Taylor Swift,248,4
66,Heaven,Beyonce,231,4
67,Here Come The Tears,Judas Priest,276,4
68,Here Comes A Regular,The Replacements,291,4
69,Here Without You,3 Doors Down,251,4
70,Hero,Mariah Carey,260,4
71,Holiday In Spain,Counting Crows,230,4
72,Home,Michael Bubl??,542,4
73,Hope There'S Someone,Antony & The Johnsons,261,4
74,How,regina spektor,288,4
75,How Could I,Marc Anthony,270,4
76,How To Fight  Loneliness,Wilco,232,4
77,Hurt,Christina Aguilera,246,4
78,Hurt,Johnny Cash,218,4
79,I Cry,Westlife,254,4
80,I Knew I Loved You,Savage Garden,254,4
81,I M Still Breathing,Katy Perry,232,4
82,I'M Ok,Christina Aguilera,318,4
83,If I Had a Boat,James Vincent McMorrow,273,4
84,If I Were A Boy,Beyonce,253,4
85,If This Was a Movie,Taylor Swift,238,4
86,In My Secret Life,Leonard Cohen,293,4
87,Innocent,Taylor Swift,302,4
88,Invisible,Taylor Swift,206,4
89,It Doesn't Have To Be Beautiful,Slow Club,224,4
90,It's All Okay,Julia Stone,234,4
91,Jar Of Hearts,Christina Perri,661,4
92,Kiss Me,Tom Waits,589,4
93,La Ballade Of Lady & Bird,Lady & Bird,283,4
94,Last Christmas,Taylor Swift,208,4
95,Last Goodbye,Ke$ha,234,4
96,Last Kiss,Taylor Swift,372,4
97,Let It Go,Demi Lovato,227,4
98,Letting Go,Jo De La Rosa,211,4
99,Life Is Wonderful,Jason Mraz,258,4
100,Lost Without You,Delta Goodrem,249,4
